,0
"('able', 'work', 'block', 'activity')",1
"('material', 'need', 'access', 'work')",1
"('button', 'not', 'work', 'properly')",1
"('mention', 'ip', 'url', 'domain')",1
"('device', 'st', 'nov', 'need')",1
"('link', 'mar', 'not', 'business')",1
"('look', 'issue', 'fix', 'end')",1
"('customer', 'application', 'remotely', 'work')",1
"('fully', 'hrs', 'bother', 'come')",1
"('mac', 'address', 'confirm', 'mac')",1
"('go', 'offline', 'check', 'priority')",1
"('check', 'mention', 'device', 'physically')",1
"('office', 'key', 'need', 'activate')",1
"('static', 'route', 'reverse', 'route')",1
"('license', 'get', 'expire', 'change')",48
"('vlan', '-PRON-', 'would', 'ip')",1
"('nike', 'odc', 'dw', 'check')",1
"('would', 'not', 'login', 'webmail')",1
"('address', 'debin', 'tower', 'stack')",2
"('open', 'website', 'solve', 'issue')",1
"('kindly', 'asset', 'pdc', 'location')",1
"('check', 'issue', 'resolve', 'asap')",1
"('start', 'adam', 'goodall', 'peel')",1
"('not', 'work', 'check', 'immediately')",1
"('cs', 'application', 'not', 'work')",1
"('not', 'work', 'office', 'config')",1
"('mention', 'source', 'ip', 'belong')",5
"('card', 'lan', 'wifi', 'not')",1
"('scope', 'detail', 'prepare', 'share')",1
"('get', 'error', 'window', 'run')",1
"('kindly', 'user', 'ist', 'user')",1
"('panasonic', 'germany', 'odc', 'ip')",1
"('access', 'issue', 'sonu', 'pathak')",1
"('video', 'poc', 'source', 'destination')",1
"('site', 'facebook', 'youtube', 'ip')",1
"('show', 'blue', 'screen', 'display')",1
"('new', 'matching', 'rule', 'detail')",1
"('email', 'dl', 'not', 'receive')",1
"('user', 'unable', 'access', 'drive')",1
"('issue', 'access', 'email', 'laptop')",1
"('domain', '-PRON-', 'would', 'configuration')",1
"('review', 'wipro', 'device', 'mdc')",1
"('look', 'mac', 'address', 'debin')",2
"('new', 'server', 'monitor', 'tool')",1
"('bandwidth', 'class', 'mcgrawhills', 'cdc')",1
"('configure', 'vlan', 'shiwcth', 'ip')",1
"('wt', 'critical', 'device', 'st')",1
"('dana', 'project', 'user', 'face')",1
"('ios', 'upgradation', 'bp', 'odc')",1
"('guest', 'wifi', 'aberdeen', 'not')",1
"('firewall', 'deny', 'external', 'block')",1
"('issue', 'can', 'not', 'resolve')",1
"('ms', 'lync', 'not', 'work')",1
"('coop', 'norge', 'project', 'sjp')",1
"('group', 'policy', 'update', 'vpn')",1
"('manual', 'backup', 'sjp', 'core')",1
"('cmr', 'change', 'vtp', 'mode')",1
"('issue', 'gage', 'network', 'ukpark')",1
"('testing', 'purpose', 'address', 'login')",1
"('deny', 'traffic', 'internal', 'source')",2
"('ip', 'hop', 'mention', 'not')",1
"('kochi', 'primary', 'link', 'flucutuat')",1
"('connect', 'server', 'not', 'able')",1
"('intranet', 'service', 'ksa', 'not')",1
"('segment', 'maxi', 'ss', 'ec')",1
"('mmchina', 'conti', 'user', 'fanc')",1
"('high', 'latency', 'yvw', 'citirx')",1
"('lan', 'migration', 'mv', 'nj')",1
"('weekly', 'bandwidth', 'utilization', 'report')",1
"('port', 'opening', 'detail', 'say')",1
"('configuration', 'byt', 'interface', 'description')",1
"('inn', 'vlan', 'switch', 'port')",5
"('pl', 'help', 'att', 'hub')",1
"('alert', 'unable', 'reach', 'mention')",1
"('discussion', 'tp', 'migration', 'plan')",1
"('dhcp', 'scope', 'need', 'setup')",1
"('assign', 'engineer', 'check', 'physically')",1
"('bind', 'sjp', 'charle', 'schwab')",2
"('refer', 'trail', 'levis', 'class')",1
"('andheri', 'secondary', 'link', 'mar')",1
"('address', 'assign', 'raise', 'service')",1
"('battery', 'issue', 'need', 'replacement')",1
"('sap', 'coe', 'system', 'like')",1
"('wtsjpior', 'bgp', 'router', 'identifi')",1
"('need', 'add', 'mac', 'address')",2
"('data', 'card', 'not', 'work')",1
"('sjp', 'block', 'do', 'not')",1
