,0
"('card', 'not', 'detect')",1
"('button', 'not', 'work')",2
"('outlook', 'not', 'work')",1
"('enable', 'wipro', 'network')",1
"('frequent', 'account', 'lookout')",1
"('issue', 'change', 'password')",1
"('virus', 'issue', 'get')",1
"('upload', 'purchase', 'order')",1
"('activate', 'ms', 'office')",21
"('able', 'login', 'ne')",1
"('latency', 'high', 'vrf')",1
"('-PRON-', 'be', 'ticket')",1
"('password', 'big', 'problem')",1
"('issue', 'internet', 'connection')",1
"('not', 'work', 'window')",1
"('odc', 'ip', 'segment')",1
"('dr', 'plan', 'wt')",1
"('request', 'enable', 'tcp')",1
"('login', 'webmail', 'mailbox')",1
"('federation', 'access', 'enable')",3
"('issue', 'access', 'new')",1
"('user', 'otp', 'registration')",86
"('issue', 'connect', 'client')",1
"('not', 'reflect', 'psp')",1
"('link', 'port', 'detail')",1
"('campbell', 'odc', 'kindly')",1
"('slowness', 'reconnect', 'issue')",1
"('communicate', 'client', 'domain')",1
"('citi', 'utilization', 'report')",1
"('access', 'port', 'pls')",1
"('device', 'reachable', 'cdcsecl')",1
"('class', 'eplus', 'ss')",1
"('check', 'physically', 'update')",1
"('segment', 'maxi', 'ss')",1
"('say', 'request', 'facetime')",1
"('desktop', 'pl', 'find')",1
"('ip', 'hop', 'mention')",1
"('cmr', 'need', 'raise')",4
"('bind', 'mac', 'address')",8
"('alert', 'description', 'bgp')",1
"('report', 'find', 'detail')",1
"('nee', 'backup', 'laptop')",1
"('detect', 'laptop', 'rectify')",1
"('bandwidth', 'wipro', 'sap')",1
"('transfer', 'resolve', 'asap')",1
"('reverse', 'route', 'wbpo')",1
"('ms', 'visio', 'software')",1
"('state', 'idle', 'lasterror')",1
"('portugal', 'wlc', 'ac')",1
"('asset', 'boot', 'slow')",1
"('provide', 'pool', 'ip')",1
"('sendreceive', 'email', 'office')",1
"('un', 'install', 'old')",1
"('need', 'download', 'lync')",1
"('mywipro', 'approve', 'let')",1
"('internet', 'explorer', 'can')",1
"('mumbai', 'andheri', 'secondary')",1
"('vpn', 'connectivity', 'issue')",1
"('isa', 'client', 'not')",1
"('generate', 'user', 'machine')",1
"('ticket', 'isp', 'share')",1
"('device', 'rd', 'november')",1
"('need', 'base', 'os')",1
"('network', 'mpls', 'network')",1
"('accessible', 'help', 'priority')",1
"('user', 'face', 'browser')",2
"('dw', 'check', 'issue')",1
"('can', 'not', 'access')",1
"('keyboard', 'not', 'work')",3
"('know', 'mention', 'ip')",1
"('bb', 'slowness', 'issue')",1
"('jjacob', 'password', 'issue')",1
"('current', 'configuration', 'byt')",1
"('link', 'mar', 'not')",1
"('issue', 'happen', 'location')",1
"('pm', 'ist', 'th')",1
"('finland', 'admin', 'vpn')",1
"('face', 'issue', 'access')",1
"('backup', 'sjp', 'core')",2
"('conti', 'user', 'fanc')",1
"('url', 'exist', 'pdc')",1
"('floor', 'wing', 'tag')",1
"('utilization', 'report', 'feburary')",1
"('network', 'ukpark', 'royal')",1
"('nortel', 'core', 'device')",1
"('ksa', 'not', 'work')",1
"('andheri', 'secondary', 'link')",1
"('reset', 'pasword', 'asking')",1
"('need', 'configure', 'vlan')",67
"('pst', 'file', 'outlook')",2
"('class', 'ec', 'packet')",2
"('location', 'chennai', 'ec')",1
"('end', 'point', 'security')",1
"('latency', 'peer', 'ip')",1
"('email', 'dl', 'not')",1
"('laptop', 'request', 'preetham')",1
"('boot', 'help', 'asap')",1
"('citrix', 'isa', 'client')",1
"('mail', 'not', 'work')",151
"('issue', 'fix', 'end')",1
"('kindly', 'enable', 'confirm')",1
"('device', 'ec', 'tacacs')",1
"('device', 'intermittently', 'assign')",1
"('new', 'destination', 'ip')",1
"('-PRON-', 'would', 'mismatch')",1
"('brazil', 'not', 'work')",1
"('connect', 'backup', 'password')",1
"('router', 'inwilahydr', 'inwilahydr')",1
"('kmadur', 'pw', 'issue')",1
"('able', 'function', 'work')",1
"('datum', 'card', 'need')",1
"('internet', 'link', 'traffic')",1
"('alu', 'odc', 'bw')",1
"('remotely', 'work', 'laptop')",1
"('vlan', 'voice', 'vlan')",1
"('card', 'lan', 'wifi')",1
"('not', 'accessible', 'cdc')",1
"('newly', 'create', 'ps')",1
"('kindly', 'share', 'bandwidth')",3
"('blade', 'stop', 'respond')",2
"('synch', 'blackberry', 'outlook')",1
"('ec', 'pasa', 'firewall')",1
"('clear', 'sjpsfaw', 'device')",1
"('location', 'dhcp', 'server')",1
"('supply', 'show', 'user')",1
"('alarm', 'occur', 'eccasimp')",2
"('ip', 'reservation', 'printer')",1
"('macafee', 'installation', 'party')",1
"('server', 'access', 'odc')",1
